before	after
511900-1-1-B	511900-1-1-B
PHN11_PHW65_0294	PHN11_PHW65_0294
PHN11_PHW65_0359	PHN11_PHW65_0359
8M129	8M129
PHN11_PHG47_0385	PHN11_PHG47_0385
W10001_0012	W10001_0012
DK78371A	DK78371A
OhW-127	OHW-127
MoG_LH123Ht-199-1-1-1-1-B	MOG_LH123HT-199-1-1-1-1-B
MoG_LH123Ht-200-1-1-1-1-B	MOG_LH123HT-200-1-1-1-1-B
W10001_0009	W10001_0009
W10004_0032	W10004_0032
W10005_0220	W10005_0220
MoG_Mo45-045-1-1-1-1-B	MOG_MO45-045-1-1-1-1-B
W10001_0042	W10001_0042
MoG_Mo45-030-1-1-1-1-B	MOG_MO45-030-1-1-1-1-B
MoG_LH145_0131	MOG_LH145_0131
MoG_NC230-043-1-1-1-1-B	MOG_NC230-043-1-1-1-1-B
MoG_NC230-011-1-1-1-1-B	MOG_NC230-011-1-1-1-1-B
W10001_0014	W10001_0014
MoG_Mo45-085-1-1-1-1-B	MOG_MO45-085-1-1-1-1-B
NyH-245	NYH-245
NyH-280	NYH-280
NyH-229	NYH-229
OhW-249	OHW-249
NyH-211	NYH-211
Mo44_PHG47_0054	MO44_PHG47_0054
Mo44_PHG47_0087	MO44_PHG47_0087
Mo44_PHG47_0072	MO44_PHG47_0072
NKS8324	NKS8324
Mo44_PHW65_0035	MO44_PHW65_0035
Mo44_LH145_0101	MO44_LH145_0101
Mo44_LH145_0147	MO44_LH145_0147
PHN11_PHG47_0048	PHN11_PHG47_0048
PHN11_LH145_0058	PHN11_LH145_0058
LH210	LH210
PHN11_LH145_0003	PHN11_LH145_0003
MoG_Oh43_0367	MOG_OH43_0367
DKFAPW	DKFAPW
PHN11_LH145_0062	PHN11_LH145_0062
MoG_Oh43_0306	MOG_OH43_0306
PHN11_LH145_0085	PHN11_LH145_0085
W10001_0023	W10001_0023
PHN11_PHG47_0390	PHN11_PHG47_0390
PHN11_Oh43_0184	PHN11_OH43_0184
Mo44_PHW65_0131	MO44_PHW65_0131
PHN11_PHW65_0015	PHN11_PHW65_0015
OhW-017	OHW-017
PHN11_Oh43_0190	PHN11_OH43_0190
W10001_0016	W10001_0016
W10008_0037	W10008_0037
W10008_0099	W10008_0099
W10004_0216	W10004_0216
PHN11_PHG47_0287	PHN11_PHG47_0287
W10008_0092	W10008_0092
OhW-160	OHW-160
LH159	LH159
W10001_0010	W10001_0010
W10001_0031	W10001_0031
W10001_0011	W10001_0011
W10006_0002	W10006_0002
OhW-201	OHW-201
W10001_0047	W10001_0047
NyH-129	NYH-129
PHKE6	PHKE6
MoG_LH123Ht-045-1-1-1-1-B	MOG_LH123HT-045-1-1-1-1-B
NyH-071	NYH-071
LH184	LH184
MoG_Mo45-055-1-1-1-1-B	MOG_MO45-055-1-1-1-1-B
MoG_Oh43_0300	MOG_OH43_0300
MoG_Oh43_0416	MOG_OH43_0416
MoG_Oh43_0402	MOG_OH43_0402
PHN11_PHG47_0062	PHN11_PHG47_0062
MoG_Mo45-071-1-1-1-1-B	MOG_MO45-071-1-1-1-1-B
OhW-258	OHW-258
907	907
MoG_PHG83-224-1-1-1-1-B	MOG_PHG83-224-1-1-1-1-B
MoG_LH123Ht-166-1-1-1-1-B	MOG_LH123HT-166-1-1-1-1-B
LH198	LH198
PHGG7	PHGG7
PHN46	PHN46
PHN11_PHG47_0023	PHN11_PHG47_0023
NK807	NK807
PHN11_PHW65_0312	PHN11_PHW65_0312
NyH-250	NYH-250
NyH-103	NYH-103
NyH-251	NYH-251
NyH-258	NYH-258
NyH-085	NYH-085
NyH-244	NYH-244
NyH-089	NYH-089
NyH-240	NYH-240
NyH-055	NYH-055
NyH-061	NYH-061
NyH-269	NYH-269
Mo44_PHW65_0180	MO44_PHW65_0180
NyH-052	NYH-052
NyH-029	NYH-029
OhW-263	OHW-263
OhW-186	OHW-186
Mo44_PHG47_0062	MO44_PHG47_0062
NKH8431	NKH8431
Mo44_PHG47_0060	MO44_PHG47_0060
Mo44_PHG47_0103	MO44_PHG47_0103
Mo44_PHW65_0025	MO44_PHW65_0025
W10005_0147	W10005_0147
Mo44_PHG47_0050	MO44_PHG47_0050
W10005_0135	W10005_0135
Mo44_LH145_0092	MO44_LH145_0092
Mo44_LH145_0143	MO44_LH145_0143
PHN11_PHG47_0172	PHN11_PHG47_0172
Mo44_LH145_0127	MO44_LH145_0127
Mo44_PHG47_0030	MO44_PHG47_0030
Mo44_LH145_0138	MO44_LH145_0138
Mo44_PHG47_0125	MO44_PHG47_0125
MoG_LH145_0124	MOG_LH145_0124
PHN11_LH145_0002	PHN11_LH145_0002
DKMDF-13D	DKMDF-13D
OhW-172	OHW-172
PHW80	PHW80
AS5707	AS5707
PHW65_MoG_0029	PHW65_MOG_0029
PHW65_MoG_0311	PHW65_MOG_0311
PHW65_MoG_0111	PHW65_MOG_0111
PHW65_MoG_0137	PHW65_MOG_0137
MoG_NC230-005-1-1-1-1-B	MOG_NC230-005-1-1-1-1-B
LH185	LH185
MoG_LH145_0173	MOG_LH145_0173
PHW65_MoG_0173	PHW65_MOG_0173
W10001_0003	W10001_0003
PHW65_MoG_0511	PHW65_MOG_0511
M0151	M0151
W10002_0004	W10002_0004
W10001_0013	W10001_0013
W10001_0005	W10001_0005
W10001_0007	W10001_0007
W10001_0006	W10001_0006
W10006_0001	W10006_0001
MoG_PHG83-099-1-1-1-1-B	MOG_PHG83-099-1-1-1-1-B
MoG_PHG83-218-1-1-1-1-B	MOG_PHG83-218-1-1-1-1-B
MoG_Oh43_0170	MOG_OH43_0170
PHN11_PHG47_0388	PHN11_PHG47_0388
2MCDB	2MCDB
MoG_Oh43_0179	MOG_OH43_0179
MoG_Mo45-054-1-1-1-1-B	MOG_MO45-054-1-1-1-1-B
MoG_PHG83-197-1-1-1-1-B	MOG_PHG83-197-1-1-1-1-B
MoG_Mo45-078-1-1-1-1-B	MOG_MO45-078-1-1-1-1-B
MoG_Mo45-074-1-1-1-1-B	MOG_MO45-074-1-1-1-1-B
MoG_LH145_0162	MOG_LH145_0162
MoG_NC230-008-1-1-1-1-B	MOG_NC230-008-1-1-1-1-B
PHG80	PHG80
MoG_NC230-127-1-1-1-1-B	MOG_NC230-127-1-1-1-1-B
DKMBNA	DKMBNA
PHB09	PHB09
MoG_LH123Ht-093-1-1-1-1-B	MOG_LH123HT-093-1-1-1-1-B
MoG_Mo45-139-1-1-1-1-B	MOG_MO45-139-1-1-1-1-B
MoG_LH123Ht-031-1-1-1-1-B	MOG_LH123HT-031-1-1-1-1-B
MoG_LH123Ht-074-1-1-1-1-B	MOG_LH123HT-074-1-1-1-1-B
MoG_LH123Ht-019-1-1-1-1-B	MOG_LH123HT-019-1-1-1-1-B
MoG_LH145_0175	MOG_LH145_0175
MoG_LH145_0163	MOG_LH145_0163
MoG_PHG83-090-1-1-1-1-B	MOG_PHG83-090-1-1-1-1-B
MoG_LH123Ht-014-1-1-1-1-B	MOG_LH123HT-014-1-1-1-1-B
MoG_LH123Ht-059-1-1-1-1-B	MOG_LH123HT-059-1-1-1-1-B
OhW-235	OHW-235
MoG_Mo45-128-1-1-1-1-B	MOG_MO45-128-1-1-1-1-B
OhW-272	OHW-272
OhW-019	OHW-019
OhW-198	OHW-198
OhW-074	OHW-074
NK794	NK794
LH216	LH216
MoG_LH145_0057	MOG_LH145_0057
SD107	SD107
DKIB014	DKIB014
PHN11_PHW65_0065	PHN11_PHW65_0065
PHN11_PHG47_0251	PHN11_PHG47_0251
PHN11_PHW65_0328	PHN11_PHW65_0328
PHN11_PHW65_0323	PHN11_PHW65_0323
Mo44_PHW65_0193	MO44_PHW65_0193
OhW-164	OHW-164
OhW-006	OHW-006
PHN11_Oh43_0215	PHN11_OH43_0215
W10004_0232	W10004_0232
PHN11_Oh43_0142	PHN11_OH43_0142
PHW65_MoG_0012	PHW65_MOG_0012
MoG_Oh43_0439	MOG_OH43_0439
ICI441	ICI441
W10004_0227	W10004_0227
MoG_NC230-009-1-1-1-1-B	MOG_NC230-009-1-1-1-1-B
DK4676A	DK4676A
PHW65_MoG_0271	PHW65_MOG_0271
MoG_NC230-183-1-1-1-1-B	MOG_NC230-183-1-1-1-1-B
PHVJ4	PHVJ4
MoG_NC230-010-1-1-1-1-B	MOG_NC230-010-1-1-1-1-B
PHW65_MoG_0176	PHW65_MOG_0176
OhW-183	OHW-183
MoG_NC230-028-1-1-1-1-B	MOG_NC230-028-1-1-1-1-B
PHW65_MoG_0293	PHW65_MOG_0293
MoG_NC230-007-1-1-1-1-B	MOG_NC230-007-1-1-1-1-B
LH82xPH207-15	LH82_PH207-15
LH82xPH207-13	LH82_PH207-13
B73xPHG39-25	B73_PHG39-25
B73xPHG39-24	B73_PHG39-24
PH207xPHG47-18	PH207_PHG47-18
PH207xPHG47-22	PH207_PHG47-22
PH207xPHG47-2	PH207_PHG47-2
B73xPHG39-22	B73_PHG39-22
CG123	CG123
B73xPHG39-17	B73_PHG39-17
LH82xPHG47-18	LH82_PHG47-18
PH207xPHG47-11	PH207_PHG47-11
PH207xPHG47-23	PH207_PHG47-23
MO17	MO17
LH82xPHG47-2	LH82_PHG47-2
LH82xPH207-17	LH82_PH207-17
CG125	CG125
LH82xPHG47-25	LH82_PHG47-25
LH82xPH207-11	LH82_PH207-11
PH207xPHG47-6	PH207_PHG47-6
B73xPHG39-19	B73_PHG39-19
B73xPHG39-3	B73_PHG39-3
CG60	CG60
PH207xPHG47-4	PH207_PHG47-4
LH82xPH207-19	LH82_PH207-19
B73xPHG39-4	B73_PHG39-4
LH82xPHG47-1	LH82_PHG47-1
PH207xPHG47-24	PH207_PHG47-24
B73xPHG39-18	B73_PHG39-18
PHN11_OH43_0036	PHN11_OH43_0036
LH82xPHG47-13	LH82_PHG47-13
PH207xPHG47-17	PH207_PHG47-17
LH82xPHG47-6	LH82_PHG47-6
LH82xPHG47-20	LH82_PHG47-20
LH82xPHG47-4	LH82_PHG47-4
TX205	TX205
LH82xPHG47-10	LH82_PHG47-10
LH82xPHG47-15	LH82_PHG47-15
B73xPHG39-7	B73_PHG39-7
MP719	MP719
LH82xPH207-16	LH82_PH207-16
B73xPHG39-8	B73_PHG39-8
TX740-B5	TX740-B5
LH82xPHG47-8	LH82_PHG47-8
LH82xPHG47-5	LH82_PHG47-5
TX732-B25-B22	TX732-B25-B22
LH82xPH207-3	LH82_PH207-3
B73xPHG39-6	B73_PHG39-6
LH82xPH207-12	LH82_PH207-12
TX772W-B4-B8	TX772W
LH82xPH207-23	LH82_PH207-23
LH82xPHG47-16	LH82_PHG47-16
PH207xPHG47-20	PH207_PHG47-20
B73xPHG39-5	B73_PHG39-5
LH82xPHG47-21	LH82_PHG47-21
TX760RP-B35-B21	TX760RP-B35-B21
PH207xPHG47-3	PH207_PHG47-3
LH82xPH207-20	LH82_PH207-20
LH82xPHG47-23	LH82_PHG47-23
B73_NC230-041-1-1-1-1	B73_NC230-041-1-1-1-1
LH82xPHG47-24	LH82_PHG47-24
PH207xPHG47-16	PH207_PHG47-16
B73_NC230-147-1-1-1-1	B73_NC230-147-1-1-1-1
TX29A-B9-B14-B16	TX29A-B9-B14-B16
LH82xPH207-4	LH82_PH207-4
B73_NC230-059-1-1-1-1	B73_NC230-059-1-1-1-1
PH207xPHG47-1	PH207_PHG47-1
PH207xPHG47-7	PH207_PHG47-7
CG37	CG37
W10002_0002	W10002_0002
PH207xPHG47-9	PH207_PHG47-9
PHREI	PHREI
PH207xPHG47-15	PH207_PHG47-15
CG79	CG79
TX772-B-B-B-B-B-1-B4	TX772-B-B-B-B-B-1-B4
CG119	CG119
LH82xPH207-21	LH82_PH207-21
B73xPHG39-16	B73_PHG39-16
LH82xPH207-25	LH82_PH207-25
LH82xPHG47-14	LH82_PHG47-14
PH207xPHG47-25	PH207_PHG47-25
PH207xPHG47-13	PH207_PHG47-13
LH82xPH207-6	LH82_PH207-6
LH82xPH207-14	LH82_PH207-14
LH82xPH207-2	LH82_PH207-2
PH207xPHG47-21	PH207_PHG47-21
PH207xPHG47-10	PH207_PHG47-10
PH207xPHG47-12	PH207_PHG47-12
CG127	CG127
PH207xPHG47-14	PH207_PHG47-14
B73xPHG39-13	B73_PHG39-13
PH207xPHG47-19	PH207_PHG47-19
CG38	CG38
LH82xPHG47-11	LH82_PHG47-11
B73xPHG39-9	B73_PHG39-9
CG121	CG121
MP718	MP718
LH82xPH207-5	LH82_PH207-5
CG110	CG110
MO44_PHW65_0035	MO44_PHW65_0035
CG111	CG111
TX714-B8	TX714-B8
CG108	CG108
(TX739)_LAMA2002-10-1-B-B-B-B3-B7_ORANGE-B	(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6
CS12-INC-199-B18	CS12-INC-199-B18
LH82xPH207-24	LH82_PH207-24
PH207xPHG47-8	PH207_PHG47-8
LH82xPHG47-12	LH82_PHG47-12
TX81-B-B22-B20	TX81-B-B22-B20
PH207xPHG47-5	PH207_PHG47-5
CG124	CG124
CG126	CG126
LH82xPH207-10	LH82_PH207-10
B73xPHG39-21	B73_PHG39-21
LH82xPHG47-3	LH82_PHG47-3
TX768-B-B18-B18	TX768-B-B18-B18
LH82xPH207-7	LH82_PH207-7
LH82xPH207-8	LH82_PH207-8
B73xPHG39-14	B73_PHG39-14
B73_NC230-032-1-1-1-1	B73_NC230-032-1-1-1-1
LH82xPHG47-17	LH82_PHG47-17
ARGENTINE_FLINTY_COMPOSITE-C(1)-37-B-B-B2-1-B25	ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25
B73xPHG39-20	B73_PHG39-20
LH82xPH207-9	LH82_PH207-9
REDEAR2-2-2-1-1-2-B-B-1-B10	REDEAR2-2-2-1-1-2-B-B-1-B10
B73_NC230-126-1-1-1-1	B73_NC230-126-1-1-1-1
REDEAR2-2-2-1-1-2-B-B-1-B9	REDEAR2-2-2-1-1-2-B-B-1-B9
B73xPHG39-23	B73_PHG39-23
B73xPHG39-11	B73_PHG39-11
B73_NC230-040-1-1-1-1	B73_NC230-040-1-1-1-1
TX745RP-B3-B11	TX745 RP
LH82xPH207-22	LH82_PH207-22
LH82xPH207-18	LH82_PH207-18
TX61M-B-B19-B17	TX61M-B-B19-B17
B73xPHG39-15	B73_PHG39-15
LH82xPH207-1	LH82_PH207-1
B73xPHG39-2	B73_PHG39-2
TX204	TX204
LH82xPHG47-19	LH82_PHG47-19
(TX736)_((TX772_X_T246)_X_TX772)-1-5-B-B-B-B-B-B6-B6-B2-B13	TX736((TX772XT246)XTX772)-1-5....
B73_NC230-049-1-1-1-1	B73_NC230-049-1-1-1-1
B73_NC230-129-1-1-1-1	B73_NC230-129-1-1-1-1
B73_NC230-128-1-1-1-1	B73_NC230-128-1-1-1-1
TX772-B8	TX772-B8
CML184RP-B11-B17	CML184RP-B11-B17
NYH-258	NYH-258
B73xPHG39-10	B73_PHG39-10
TX130RP-B27-B18	TX130 RP
TX601-B-B20-B13	TX601-B-B20-B13
TX303-B8	TX303-B8
LH82xPHG47-7	LH82_PHG47-7
CG44	CG44
TX803-B17-B20	TX803-B17-B20
TX802-B14	TX802-B14
LH82xPHG47-22	LH82_PHG47-22
CG122	CG122
TX770RP-B25	TX770RP-B25
Mo44_PHW65_0134	MO44_PHW65_0134
W10004_0062	W10004_0062
Mo44_PHG47_0067	MO44_PHG47_0067
Mo44_PHW65_0145	MO44_PHW65_0145
BGEM-0005-N	BGEM-0005-N
Mo44_PHG47_0080	MO44_PHG47_0080
Mo44_PHG47_0073	MO44_PHG47_0073
BGEM-0046-N	BGEM-0046-N
Mo44_PHG47_0069	MO44_PHG47_0069
4N506	4N506
BGEM-0157-N	BGEM-0157-N
PHP60	PHP60
Mo44_LH145_0149	MO44_LH145_0149
BSSSC0_015	BSSSC0_015
Mo44_PHW65_0063	MO44_PHW65_0063
MBNIL_B049	MBNIL B049
Mo44_PHW65_0203	MO44_PHW65_0203
Mo44_PHG47_0116	MO44_PHG47_0116
Mo44_PHG47_0064	MO44_PHG47_0064
Mo44_PHG47_0085	MO44_PHG47_0085
W10004_0072	W10004_0072
BGEM-0063-N	BGEM-0063-N
Mo44_LH145_0139	MO44_LH145_0139
Mo44_LH145_0191	MO44_LH145_0191
Mo44_PHW65_0054	MO44_PHW65_0054
MS222	MS222
Mo44_LH145_0253	MO44_LH145_0253
N209	N209
R229	R229
MBNIL_B043	MBNIL B043
W10004_0045	W10004_0045
N217	N217
W10004_0095	W10004_0095
B110	B110
MoG_LH123Ht-144-1-1-1-1-B	MOG_LH123HT-144-1-1-1-1-B
Mo44_PHG47_0126	MO44_PHG47_0126
Mo44_LH145_0331	MO44_LH145_0331
CH753-4	CH753-4
Mo44_LH145_0285	MO44_LH145_0285
Mo44_PHG47_0055	MO44_PHG47_0055
Mo44_LH145_0263	MO44_LH145_0263
MoG_LH123Ht-138-1-1-1-1-B	MOG_LH123HT-138-1-1-1-1-B
Mo44_PHG47_0033	MO44_PHG47_0033
MBNIL_B154	MBNIL B154
W10004_0080	W10004_0080
Mo44_PHG47_0079	MO44_PHG47_0079
MoG_LH123Ht-158-1-1-1-1-B	MOG_LH123HT-158-1-1-1-1-B
BGEM-0211-N	BGEM-0211-N
BGEM-0182-N	BGEM-0182-N
Mo44_PHG47_0121	MO44_PHG47_0121
BGEM-0140-N	BGEM-0140-N
H84	H84
BGEM-0235-N	BGEM-0235-N
BSSSC0_009	BSSSC0_009
MoG_LH123Ht-205-1-1-1-1-B	MOG_LH123HT-205-1-1-1-1-B
MoG_LH123Ht-082-1-1-1-1-B	MOG_LH123HT-082-1-1-1-1-B
Mo44_PHG47_0032	MO44_PHG47_0032
Mo44_PHG47_0041	MO44_PHG47_0041
Mo44_PHG47_0028	MO44_PHG47_0028
Mo44_PHG47_0047	MO44_PHG47_0047
BSSSC0_057	BSSSC0_057
BSSSC0_005	BSSSC0_005
Mo44_LH145_0352	MO44_LH145_0352
PHR55	PHR55
MoG_LH123Ht-122-1-1-1-1-B	MOG_LH123HT-122-1-1-1-1-B
BSSSC0_033	BSSSC0_033
MoG_LH123Ht-133-1-1-1-1-B	MOG_LH123HT-133-1-1-1-1-B
BGEM-0227-N	BGEM-0227-N
Mo44_LH145_0274	MO44_LH145_0274
B2	B2
W10004_0121	W10004_0121
BGEM-0210-N	BGEM-0210-N
W10004_0119	W10004_0119
MoG_LH123Ht-127-1-1-1-1-B	MOG_LH123HT-127-1-1-1-1-B
BGEM-0039-N	BGEM-0039-N
BGEM-0202-N	BGEM-0202-N
BGEM-0184-N	BGEM-0184-N
Mo44_PHG47_0018	MO44_PHG47_0018
BGEM-0204-N	BGEM-0204-N
Mo44_LH145_0257	MO44_LH145_0257
Mo44_PHG47_0078	MO44_PHG47_0078
Mo44_LH145_0356	MO44_LH145_0356
MoG_LH123Ht-128-1-1-1-1-B	MOG_LH123HT-128-1-1-1-1-B
Mo44_PHG47_0252	MO44_PHG47_0252
PHN11_PHW65_0108	PHN11_PHW65_0108
BGEM-0253-N	BGEM-0253-N
PHJ89	PHJ89
Mo44_PHW65_0195	MO44_PHW65_0195
PHRE1	PHRE1
PHV37	PHV37
W37A	W37A
BGEM-0259-N	BGEM-0259-N
PHK76	PHK76
LH205	LH205
PHW30	PHW30
Mo44_PHG47_0020	MO44_PHG47_0020
W10004_0140	W10004_0140
I159	I159
BGEM-0102-N	BGEM-0102-N
Mo44_LH145_0003	MO44_LH145_0003
Mo44_PHG47_0243	MO44_PHG47_0243
PHM57	PHM57
BGEM-0246-N	BGEM-0246-N
S8324	S8324
PHN11_LH145_0358	PHN11_LH145_0358
N218	N218
LH209	LH209
Mo44_PHW65_0172	MO44_PHW65_0172
Mo44_PHW65_0223	MO44_PHW65_0223
Mo44_PHW65_0179	MO44_PHW65_0179
BGEM-0089-N	BGEM-0089-N
Mo44_PHW65_0173	MO44_PHW65_0173
Mo44_PHG47_0089	MO44_PHG47_0089
Mo44_PHW65_0184	MO44_PHW65_0184
BGEM-0040-N	BGEM-0040-N
Mo44_PHW65_0165	MO44_PHW65_0165
PHN11_LH145_0344	PHN11_LH145_0344
Mo44_PHW65_0189	MO44_PHW65_0189
BGEM-0066-N	BGEM-0066-N
BGEM-0203-N	BGEM-0203-N
W10004_0148	W10004_0148
BGEM-0228-N	BGEM-0228-N
BGEM-0001-N	BGEM-0001-N
BGEM-0143-N	BGEM-0143-N
BGEM-0124-N	BGEM-0124-N
PHN11_LH145_0017	PHN11_LH145_0017
Mo44_PHW65_0153	MO44_PHW65_0153
Mo44_PHW65_0207	MO44_PHW65_0207
Mo44_LH145_0113	MO44_LH145_0113
Mo44_PHW65_0283	MO44_PHW65_0283
BGEM-0129-N	BGEM-0129-N
BGEM-0121-N	BGEM-0121-N
BGEM-0239-N	BGEM-0239-N
Mo44_PHW65_0176	MO44_PHW65_0176
Mo44_PHW65_0043	MO44_PHW65_0043
Mo44_PHG47_0123	MO44_PHG47_0123
Mo44_PHG47_0127	MO44_PHG47_0127
Mo44_PHG47_0182	MO44_PHG47_0182
Mo44_PHG47_0003	MO44_PHG47_0003
MoG_PHG83-141-1-1-1-1-B	MOG_PHG83-141-1-1-1-1-B
MoG_LH123Ht-135-1-1-1-1-B	MOG_LH123HT-135-1-1-1-1-B
MoG_LH123Ht-025-1-1-1-1-B	MOG_LH123HT-025-1-1-1-1-B
Mo44_PHG47_0188	MO44_PHG47_0188
MoG_LH123Ht-094-1-1-1-1-B	MOG_LH123HT-094-1-1-1-1-B
MoG_LH123Ht-124-1-1-1-1-B	MOG_LH123HT-124-1-1-1-1-B
PHN47	PHN47
FBLA	FBLA
BSSSC0_060	BSSSC0_060
Mo44_PHG47_0229	MO44_PHG47_0229
Mo44_LH145_0104	MO44_LH145_0104
PHN11_LH145_0346	PHN11_LH145_0346
Mo44_PHW65_0034	MO44_PHW65_0034
PHN11_LH145_0326	PHN11_LH145_0326
Mo44_PHG47_0255	MO44_PHG47_0255
PHN11_LH145_0337	PHN11_LH145_0337
Mo44_PHG47_0258	MO44_PHG47_0258
Mo44_PHW65_0020	MO44_PHW65_0020
Mo44_PHW65_0260	MO44_PHW65_0260
Mo44_PHG47_0288	MO44_PHG47_0288
BGEM-0256-N	BGEM-0256-N
Mo44_LH145_0175	MO44_LH145_0175
Mo44_PHG47_0220	MO44_PHG47_0220
MoG_PHG83-058-1-1-1-1-B	MOG_PHG83-058-1-1-1-1-B
BGEM-0240-N	BGEM-0240-N
S8326	S8326
PHN11_LH145_0319	PHN11_LH145_0319
PHR63	PHR63
Mo44_PHW65_0050	MO44_PHW65_0050
Mo44_PHW65_0048	MO44_PHW65_0048
Mo44_PHW65_0218	MO44_PHW65_0218
BGEM-0193-N	BGEM-0193-N
Mo44_PHW65_0307	MO44_PHW65_0307
BGEM-0248-N	BGEM-0248-N
MoG_LH123Ht-129-1-1-1-1-B	MOG_LH123HT-129-1-1-1-1-B
PHB47	PHB47
Mo44_PHG47_0135	MO44_PHG47_0135
Mo44_PHG47_0231	MO44_PHG47_0231
BGEM-0215-N	BGEM-0215-N
MoG_PHG83-013-1-1-1-1-B	MOG_PHG83-013-1-1-1-1-B
FR19	FR19
Mo44_LH145_0097	MO44_LH145_0097
